Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
2TV9,2,40,28,12,TEORIA DE LA INFORMACION
3TM1,3,30,2,28,LINEAS DE TRANSMISION Y ANTENAS
3TM1,3,40,39,1,ADMINISTRACION DE PROYECTOS
3TM2,3,40,40,0,REDES INTELIGENTES
3TM2,3,32,32,0,MULTIMEDIA
3TM2,3,35,34,1,BASES DE DATOS DISTRIBUIDAS
3TM2,3,40,39,1,LIDERAZGO Y EMPRENDEDORES
3TM3,3,30,30,0,SEGURIDAD EN REDES
3TM3,3,40,39,1,METODOLOGIA DE LA INVESTIGACION
3TM4,3,30,30,0,PROCESAMIENTO DE IMAGENES
3TM5,3,40,10,30,SISTEMAS DE CALIDAD
3TV1,3,30,30,0,LINEAS DE TRANSMISION Y ANTENAS
3TV1,3,40,40,0,ADMINISTRACION DE PROYECTOS
3TV2,3,40,33,7,REDES INTELIGENTES
3TV2,3,32,32,0,MULTIMEDIA
3TV2,3,35,35,0,BASES DE DATOS DISTRIBUIDAS
3TV2,3,40,38,2,LIDERAZGO Y EMPRENDEDORES
3TV3,3,35,35,0,SEGURIDAD EN REDES
3TV3,3,30,12,18,METODOLOGIA DE LA INVESTIGACION
4TM1,4,30,28,2,DISPOSITIVOS PROGRAMABLES
4TM2,4,37,37,0,APLICACIONES DISTRIBUIDAS
4TM3,4,35,35,0,PROYECTO TERMINAL I
4TM4,4,35,29,6,PROYECTO TERMINAL II
4TM6,4,1,1,0,ELECTIVA I
4TM6,4,4,4,0,ELECTIVA II
4TM6,4,8,8,0,ELECTIVA III
4TM6,4,11,10,1,ELECTIVA IV
4TV1,4,25,17,8,DISPOSITIVOS PROGRAMABLES
4TV2,4,40,36,4,REDES DE TELECOMUNICACIONES
4TV3,4,35,27,8,APLICACIONES DISTRIBUIDAS
4TV4,4,35,17,18,PROYECTO TERMINAL I
4TV5,4,35,32,3,PROYECTO TERMINAL II
4TV6,4,25,21,4,REDES DE TELECOMUNICACIONES
