Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
3TM7,3,30,0,30,SISTEMAS DE CALIDAD
4TM4,4,35,0,35,PROYECTO TERMINAL I
4TV4,4,35,0,35,PROYECTO TERMINAL I
4TV5,4,35,0,35,PROYECTO TERMINAL II
4TM5,4,30,0,30,PROYECTO TERMINAL II
4TM2,4,30,0,30,REDES DE TELECOMUNICACIONES
4TV2,4,30,0,30,REDES DE TELECOMUNICACIONES
4TV3,4,30,0,30,APLICACIONES DISTRIBUIDAS
4TM3,4,30,0,30,APLICACIONES DISTRIBUIDAS
4TV1,4,30,0,30,DISPOSITIVOS PROGRAMABLES
4TM1,4,30,0,30,DISPOSITIVOS PROGRAMABLES
